name,team,weight_class,place,record,points_scored,season
Nevaeh Wardlow,Baker,180,Did not place,0-2,0.0,2025
Jamesa Robinson,Brewton-Parker,117,Did not place,1-2,3.0,2025
Icart Galumette,Campbellsville,117,8th,3-3,8.0,2025
Cameron Ortiz,Campbellsville,131,Did not place,1-2,2.5,2025
Olivia Messerly,Campbellsville,131,Did not place,2-2,2.5,2025
Gabriella Perez,Campbellsville,138,Did not place,2-2,4.0,2025
Addison Messerly,Campbellsville,138,Did not place,1-2,2.5,2025
Kylee Tait,Campbellsville,160,Did not place,1-2,3.0,2025
Liliana Vergara,Campbellsville,180,5th,3-2,14.0,2025
Brianna Staebler,Campbellsville,207,Did not place,2-2,5.5,2025
Victoria Nunez,Central Methodist,117,Did not place,1-2,2.5,2025
Lilly Gough,Central Methodist,138,Did not place,1-2,1.0,2025
Dutchess King,Cumberlands,103,Did not place,1-2,3.5,2025
Angelina Casteneda,Cumberlands,103,6th,3-3,14.0,2025
Shammilka Miranda,Cumberlands,117,3rd,6-1,23.0,2025
Katie Gomez,Cumberlands,124,2nd,4-1,20.5,2025
Presley Anderson,Cumberlands,124,Did not place,1-2,1.0,2025
Mary Jane Porter,Cumberlands,131,Did not place,1-2,3.0,2025
Annabelle Suto,Cumberlands,131,Did not place,0-2,0.0,2025
Alivia Ming,Cumberlands,145,7th,4-2,12.0,2025
Micah Fisher,Cumberlands,160,4th,4-2,20.0,2025
Saiheron Preciado-Meza,Cumberlands,180,Did not place,2-2,6.0,2025
Maquoia Bernabe,Cumberlands,207,5th,4-2,11.0,2025
Naomi Duenas,Cumberlands,207,Did not place,1-2,2.5,2025
Keera Lacock,Dakota Wesleyan,131,Did not place,0-2,0.0,2025
Jenna Gerhardt,Dickinson State,110,Did not place,2-2,3.0,2025
Larhae Whaley,Dickinson State,117,Did not place,1-2,2.5,2025
Jumoke Adekoye,Dickinson State,131,1st,5-0,25.0,2025
Kiley Hubby,Dickinson State,160,Did not place,1-2,0.5,2025
Karina Vang,Doane,103,7th,4-2,12.0,2025
Jaden Breeden,Doane,110,Did not place,0-2,0.0,2025
Mora Peterson,Doane,117,Did not place,0-2,0.0,2025
Julia Breeden,Doane,117,Did not place,0-2,0.0,2025
Cristelle Rodriguez,Doane,124,1st,5-0,27.0,2025
Ashlee Palimo,Doane,131,Did not place,2-2,2.0,2025
Aevri Ciha,Doane,145,Did not place,0-2,0.0,2025
Bridgette Sotomayor,Doane,145,5th,5-2,15.0,2025
Aspen Barber,Doane,160,7th,3-2,8.5,2025
Lamia Benn,Doane,160,Did not place,0-2,0.0,2025
Yazmin Belk,Doane,180,Did not place,1-2,3.0,2025
Hailey Romero,Doane,207,Did not place,1-2,3.0,2025
Nayeli Flores Roque,Eastern Oregon,103,Did not place,0-2,0.0,2025
Telsarina Walter,Eastern Oregon,110,Did not place,0-2,0.0,2025
Nia Avelino,Eastern Oregon,110,Did not place,1-2,0.5,2025
Irma Retano,Eastern Oregon,117,Did not place,1-2,2.5,2025
Kadence Beck,Eastern Oregon,124,Did not place,0-2,0.0,2025
Liv Wieber,Eastern Oregon,145,3rd,5-1,21.5,2025
Nizhoni Tallman,Evergreen State,110,8th,3-3,6.5,2025
Ellabelle Taylor,Evergreen State,124,Did not place,2-2,2.0,2025
Flor Parker Borrero,Evergreen State,160,3rd,5-1,23.5,2025
Gianna Moreno,Friends,138,Did not place,0-2,0.0,2025
(Forfeit) Bailee Nelson,Friends,180,Did not place,0-2,0.0,2025
Judy Sandoval,Grand View,103,3rd,4-1,21.0,2025
Devyn Moore,Grand View,103,Did not place,0-2,0.0,2025
Lita Cruz,Grand View,110,Did not place,2-2,6.0,2025
Tristan Nitta,Grand View,110,7th,4-2,14.5,2025
Cailin Campbell,Grand View,117,Did not place,1-2,3.5,2025
Mayangelie Colon,Grand View,117,4th,4-2,19.5,2025
Catharine Campbell,Grand View,124,4th,5-2,19.0,2025
Maya Davis,Grand View,124,7th,3-2,11.5,2025
Krista Warren,Grand View,145,Did not place,1-2,4.0,2025
Emmalee Spurgeon,Grand View,160,Did not place,0-2,0.0,2025
Olivia Brown,Grand View,207,3rd,5-1,17.5,2025
Bella Porcelli,Grand View,207,Did not place,2-2,6.0,2025
Larissa Kaz,Hastings,131,8th,4-3,12.5,2025
Reagen Gallaway,Hastings,138,4th,3-2,16.0,2025
Tabitha Wood,Hastings,138,Did not place,0-2,0.0,2025
Emma Stice,Hastings,145,Did not place,0-2,0.0,2025
Lisa Hoeflich,Hastings,145,Did not place,1-2,1.0,2025
Isabella Deeds,Hastings,160,Did not place,0-2,0.0,2025
Marissa Patterson,Hastings,180,Did not place,0-2,0.0,2025
Taylor Rickley,Hastings,207,Did not place,0-2,0.0,2025
Makayla Young,Indiana Tech,103,4th,3-2,16.5,2025
Tehani Soares,Indiana Tech,110,4th,4-2,14.5,2025
Allison Hancher,Indiana Tech,110,Did not place,0-2,0.0,2025
Rose Kaplan,Indiana Tech,124,6th,4-3,12.0,2025
Andrea Hernandez,Indiana Tech,131,Did not place,3-2,7.5,2025
Hannah Seitzinger,Indiana Tech,131,Did not place,0-2,0.0,2025
Catherine Mcnulty,Indiana Tech,180,Did not place,2-2,3.5,2025
Grace Doering,Indiana Tech,180,Did not place,1-2,2.5,2025
Riley Dempewolf,Indiana Tech,207,2nd,3-1,16.0,2025
Ann Meiman,Jamestown,145,Did not place,1-2,2.5,2025
Allyssa Johnson,Jamestown,160,6th,2-3,12.5,2025
Grace Todhunter,Jamestown,207,Did not place,0-2,0.0,2025
Katherine Hernandez,Life,103,Did not place,2-2,4.0,2025
Anaya Falcon,Life,110,2nd,4-1,18.0,2025
Salyna Shotwell,Life,117,2nd,3-1,22.0,2025
Anna Krejsa,Life,124,Did not place,1-2,3.0,2025
Ariana Martinez,Life,124,8th,3-3,10.0,2025
Sarah Savidge,Life,131,6th,4-3,14.0,2025
Olivia Mottley,Life,131,5th,5-2,15.0,2025
Zaynah Mcbryde,Life,138,1st,4-0,24.5,2025
Jamilah Mcbryde,Life,145,2nd,4-1,22.5,2025
Latifah Mcbryde,Life,160,1st,4-0,23.0,2025
Reka Busa,Life,180,7th,3-2,12.0,2025
Savannah Isaac,Life,207,1st,4-0,24.0,2025
